objtype,dtype,title,image,url
star,image,Apep Star System,apep.png,https://webbtelescope.org/contents/media/images/2020/57/4777-Image?Type=Observations&Category=05-stars&page=3&filterUUID=91dfa083-c258-4f9f-bef1-8f40c26f4c97
star,image,Lynds 483,lynds483.png,https://webbtelescope.org/contents/media/images/2025/111/01JM03BFKHQ4TXFENM7XQHY405?itemsPerPage=15&page=2
star,spectrum,The Sun,thesun.png,https://science.nasa.gov/resource/the-solar-spectrum/
star,spectrum,AG Carinae,agcarinae.png,https://hubblesite.org/contents/media/images/2021/017/01F3N8X6NC69Y1ME5AXW3AGFG8?Type=Observations&Type=Photographs&Topic=104-stars-and-nebulas
star,spectrum,Sagittarius C,sagc.png,https://webbtelescope.org/contents/media/images/2023/148/01HF7NQKFCWPXHB5MT68G7Z2ED
star,spectrum,Serpens Cluster,serpens.png,https://webbtelescope.org/contents/media/images/2024/115/01HYGKYF5SSD2744FSB1V6F9JS?keyword=nebula&itemsPerPage=15&page=2
star,timeseries,Cepheid Variable,cepheid.png,https://esahubble.org/images/heic1323a/
star,timeseries,Wolf Rayet Star,wolfrayet.png,https://webbtelescope.org/contents/media/images/01GEJB2906TM9VR2FSJ4TFMNQM
star,timeseries,CW Leonis,cwleonis.png,https://hubblesite.org/contents/media/images/2021/059/01FJW7YS4R5WJNFY1H3VTF56EZ?Type=Observations&Type=Photographs&Topic=104-stars-and-nebulas
star,timeseries,Vega,vega.png,https://webbtelescope.org/contents/media/images/2024/030/01JBF22WW5QSDZN5RWGD8GS1TT?keyword=star&itemsPerPage=15&page=3
star,catalog,Westerlund 2,westerlund2.png,https://esahubble.org/images/heic1509a/
star,catalog,NGC 376,ngc376.png,https://esahubble.org/images/potw2249a/
star,catalog,Hercules Cluster,hercules.png,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-13/
star,catalog,Messier 92,m92.png,https://webbtelescope.org/contents/media/images/01GSDN0W3Z1TCD5B7HB72WM8YC?keyword=cluster&itemsPerPage=15&page=6
planet,image,Mars,mars.png,
planet,image,Jupiter,jupiter.png,
planet,image,Neptune,neptune.png,https://hubblesite.org/contents/media/images/2020/59/4787-Image?Topic=101-solar-system&keyword=neptune
planet,image,Uranus,uranus.png,https://webbtelescope.org/contents/media/images/2023/150/01HHFNNWQTA69J6K680PVZN4A1?keyword=saturn&itemsPerPage=15&page=1
planet,spectrum,Exoplanet GJ-386b,g386b.png,https://www.nasa.gov/centers-and-facilities/goddard/webb-finds-water-vapor-but-from-a-rocky-planet-or-its-star/
planet,spectrum,Martian Atmosphere,marsatmos.png,https://esawebb.org/images/first-observations-mars-2/
planet,spectrum,Exoplanet WASP-39b,wasp39b.png,https://webbtelescope.org/contents/media/images/2022/060/01GJ3Q66DTT4HPMDCVNC9GXH5Y
planet,spectrum,Planetary Disk,protoplanetary.png,https://webbtelescope.org/contents/media/images/2024/121/01HZ2NDC0Z5G822ZM3GTNMHK4X?keyword=star&itemsPerPage=15&page=6
planet,timeseries,Saturn,saturn.png,https://esawebb.org/images/first-observations-mars-2/
planet,timeseries,Exoplanet LHS-475b,lhs475b.png,https://webbtelescope.org/contents/media/images/2023/102/01GNVXWS67QNTC7Z10FN2CJB1H?news=true
planet,timeseries,Shoemaker Levy,shoelevy.png,https://hubblesite.org/contents/media/images/1995/15/275-Image.html?Topic=101-solar-system&keyword=shoemaker%20levy%209
planet,timeseries,Exoplanet WASP 107-b,wasp107b.png,https://webbtelescope.org/contents/media/images/2024/113/01HXW1X526F5TRNHCSMX41YCNA?keyword=star&itemsPerPage=15&page=6
planet,catalog,Moons of Jupiter,jupitermoons.png,https://www.astronomy.com/observing/the-galilean-moons-of-jupiter-and-how-to-observe-them/
planet,catalog,Expolanet Catalog,exoplanets.png,https://exoplanets.nasa.gov/blog/1469/all-these-worlds-are-yours/
planet,catalog,Exoplanet Kepler-16b,kepler16b.png,https://photojournal.jpl.nasa.gov/catalog/PIA14724
planet,catalog,Centaur 29P,centaur29b.png,https://webbtelescope.org/contents/media/images/2024/130/01J858SG43APYWVSXTYCB2NPHJ?keyword=star&itemsPerPage=15&page=3
